 Trimestre ,Non-oil Gross Domestic Product
 2013Q1 , 7.3 
 2013Q2 , 7.7 
 2013Q3 , 6.2 
 2013Q4 , 2.5 
 2014Q1 , 5.0 
 2014Q2 , 6.2 
 2014Q3 , 5.1 
 2014Q4 , 9.1 
 2015Q1 , 7.4 
 2015Q2 , 5.4 
 2015Q3 , 5.7 
 2015Q4 , 4.1 
 2016Q1 , 6.0 
 2016Q2 , 6.3 
 2016Q3 , 6.0 
 2016Q4 , 6.7 
 2017Q1 , 6.7 
 2017Q2 , 3.8 
 2017Q3 , 2.9 
 2017Q4 , 3.2 
 2018Q1 , 0.2-
 2018Q2 , 0.9 
 2018Q3 , 0.6 
 2018Q4 , 1.1-
 2019Q1 , 2.5 
 2019Q2 , 2.7 
 2019Q3 , 2.1 
 2019Q4 , 3.3 
 2020Q1 , 0.6-
 2020Q2 , 9.2-
 2020Q3 , 6.0-
 2020Q4 , 6.0-
 2021Q1 , 1.8-
 2021Q2 , 11.2 
 2021Q3 , 8.2 
 2021Q4 , 9.4 
 2022Q1 , 10.0 
 2022Q2 , 6.2 
 2022Q3 , 7.4 
 2022Q4 , 5.0 
 2023Q1 , 4.8 
 2023Q2 , 7.4 
 2023Q3 , 5.8 
 2023Q4 , 6.7 
